pair_id,target_only_correct,event_only_correct,eligible,base_ignore_correct,base_use_correct,base_pair_correct
dev-esc50-0000,0,1,0,,,
dev-esc50-0001,1,1,1,1,1,1
dev-esc50-0002,1,1,1,1,1,1
dev-esc50-0003,1,1,1,1,1,1
dev-esc50-0004,1,1,1,0,1,0
dev-esc50-0005,0,1,0,,,
dev-esc50-0006,1,1,1,1,1,1
dev-esc50-0007,1,1,1,1,1,1
dev-esc50-0008,0,1,0,,,
dev-esc50-0009,0,1,0,,,
dev-esc50-0010,1,1,1,1,1,1
dev-esc50-0011,1,1,1,1,1,1
dev-esc50-0012,0,1,0,,,
dev-esc50-0013,0,1,0,,,
dev-esc50-0014,1,1,1,1,1,1
dev-esc50-0015,1,1,1,1,1,1
dev-esc50-0016,0,1,0,,,
dev-esc50-0017,1,1,1,1,1,1
dev-esc50-0018,1,1,1,1,1,1
dev-esc50-0019,0,1,0,,,
dev-esc50-0020,1,1,1,1,1,1
dev-esc50-0021,0,1,0,,,
dev-esc50-0022,1,1,1,1,1,1
dev-esc50-0023,0,1,0,,,
dev-esc50-0024,0,1,0,,,
dev-esc50-0025,1,1,1,1,1,1
dev-esc50-0026,1,1,1,1,1,1
dev-esc50-0027,0,1,0,,,
dev-esc50-0028,1,1,1,1,1,1
dev-esc50-0029,1,1,1,1,1,1
dev-esc50-0030,0,1,0,,,
dev-esc50-0031,0,1,0,,,
dev-esc50-0032,1,1,1,1,0,0
dev-esc50-0033,1,1,1,1,1,1
dev-esc50-0034,1,1,1,1,1,1
dev-esc50-0035,0,1,0,,,
dev-esc50-0036,0,1,0,,,
dev-esc50-0037,1,1,1,1,1,1
dev-esc50-0038,1,1,1,1,1,1
dev-esc50-0039,1,1,1,1,1,1
dev-esc50-0040,0,1,0,,,
dev-esc50-0041,1,1,1,1,1,1
dev-esc50-0042,0,1,0,,,
dev-esc50-0043,1,1,1,1,1,1
dev-esc50-0044,0,1,0,,,
dev-esc50-0045,1,1,1,1,1,1
dev-esc50-0046,0,1,0,,,
dev-esc50-0047,0,1,0,,,
dev-esc50-0048,0,1,0,,,
dev-esc50-0049,1,1,1,1,1,1
dev-esc50-0050,0,1,0,,,
dev-esc50-0051,0,1,0,,,
dev-esc50-0052,0,1,0,,,
dev-esc50-0053,0,1,0,,,
dev-esc50-0054,0,1,0,,,
dev-esc50-0055,1,1,1,1,1,1
dev-esc50-0056,0,1,0,,,
dev-esc50-0057,0,1,0,,,
dev-esc50-0058,0,1,0,,,
dev-esc50-0059,0,1,0,,,
dev-esc50-0060,0,1,0,,,
dev-esc50-0061,0,1,0,,,
dev-esc50-0062,1,1,1,1,1,1
dev-esc50-0063,0,1,0,,,
dev-esc50-0064,1,1,1,0,1,0
dev-esc50-0065,0,1,0,,,
dev-esc50-0066,0,1,0,,,
dev-esc50-0067,1,1,1,1,1,1
dev-esc50-0068,1,1,1,1,1,1
dev-esc50-0069,0,0,0,,,
dev-esc50-0070,0,1,0,,,
dev-esc50-0071,0,1,0,,,
dev-esc50-0072,0,1,0,,,
dev-esc50-0073,1,1,1,1,1,1
dev-esc50-0074,0,1,0,,,
dev-esc50-0075,0,1,0,,,
dev-esc50-0076,0,1,0,,,
dev-esc50-0077,1,1,1,1,1,1
dev-esc50-0078,0,1,0,,,
dev-esc50-0079,1,1,1,1,1,1
dev-esc50-0080,1,1,1,1,1,1
dev-esc50-0081,1,1,1,1,1,1
dev-esc50-0082,0,1,0,,,
dev-esc50-0083,0,1,0,,,
dev-esc50-0084,0,1,0,,,
dev-esc50-0085,0,1,0,,,
dev-esc50-0086,0,1,0,,,
dev-esc50-0087,1,1,1,1,1,1
dev-esc50-0088,1,1,1,1,1,1
dev-esc50-0089,0,1,0,,,
dev-esc50-0090,1,1,1,0,1,0
dev-esc50-0091,1,1,1,1,1,1
dev-esc50-0092,0,1,0,,,
dev-esc50-0093,0,1,0,,,
dev-esc50-0094,1,1,1,1,1,1
dev-esc50-0095,0,1,0,,,
dev-esc50-0096,1,1,1,1,0,0
dev-esc50-0097,0,1,0,,,
dev-esc50-0098,1,1,1,1,1,1
dev-esc50-0099,0,1,0,,,
dev-esc50-0100,0,1,0,,,
dev-esc50-0101,1,1,1,1,1,1
dev-esc50-0102,1,1,1,1,1,1
dev-esc50-0103,0,1,0,,,
dev-esc50-0104,0,1,0,,,
dev-esc50-0105,1,1,1,0,1,0
dev-esc50-0106,0,1,0,,,
dev-esc50-0107,1,1,1,1,1,1
dev-esc50-0108,1,1,1,1,1,1
dev-esc50-0109,0,1,0,,,
dev-esc50-0110,1,1,1,1,1,1
dev-esc50-0111,1,1,1,1,1,1
dev-esc50-0112,1,1,1,1,1,1
dev-esc50-0113,1,1,1,0,1,0
dev-esc50-0114,1,1,1,1,1,1
dev-esc50-0115,1,1,1,1,1,1
dev-esc50-0116,1,1,1,1,1,1
dev-esc50-0117,0,1,0,,,
dev-esc50-0118,1,1,1,1,1,1
dev-esc50-0119,0,1,0,,,
dev-esc50-0120,0,1,0,,,
dev-esc50-0121,0,1,0,,,
dev-esc50-0122,1,1,1,1,1,1
dev-esc50-0123,1,1,1,1,1,1
dev-esc50-0124,0,1,0,,,
dev-esc50-0125,1,1,1,1,1,1
dev-esc50-0126,1,1,1,1,1,1
dev-esc50-0127,1,1,1,1,1,1
